Sample in Buffer,Sample in Window,TRIGGER,trig[1:0],rxdatak[3:0],rxdata[31:0],DETECT/Q[1:0]
528,528,0,0,1,0000a6fe,0
529,529,0,0,1,0000d8fe,0
530,530,0,0,2,0000fe0a,0
531,531,0,0,2,0000fee3,0
532,532,0,0,0,000073f2,0
533,533,0,0,0,0000a5ed,0
534,534,0,0,1,0000e1fe,0
535,535,0,0,0,0000fb14,0
536,536,0,0,1,000041fe,0
537,537,0,0,2,0000fea3,0
538,538,0,0,3,0000fefe,0
539,539,0,0,3,0000fefe,0
540,540,0,0,3,0000fefe,0
541,541,0,0,1,000073fe,0
542,542,0,0,3,0000fefe,0
543,543,0,0,3,0000fefe,0
544,544,0,0,1,000026fe,0
545,545,0,0,2,0000fe15,0
546,546,0,0,1,00001cfe,0
547,547,0,0,3,0000fefe,0
548,548,0,0,2,0000febb,0
549,549,0,0,1,000090fe,0
550,550,0,0,0,0000870d,0
551,551,0,0,2,0000fe6c,0
552,552,0,0,3,0000fefe,0
553,553,0,0,0,00007a84,0
554,554,0,0,3,0000fefe,0
555,555,0,0,0,0000f382,0
556,556,0,0,0,0000d566,0
557,557,0,0,2,0000fe26,0
558,558,0,0,2,00007cf9,0
559,559,0,0,0,00000aa5,0
560,560,0,0,1,000066fe,0
561,561,0,0,1,000022fe,0
562,562,0,0,0,00001bc0,0
563,563,0,0,1,0000c9fe,0
564,564,0,0,3,0000fefe,0
565,565,0,0,1,000067fe,0
566,566,0,0,3,0000fefe,0
567,567,0,0,0,00007bd8,0
568,568,0,0,1,000068fe,0
569,569,0,0,0,0000df7b,0
570,570,0,0,2,0000fe2c,0
571,571,0,0,2,0000fec8,0
572,572,0,0,0,00005b0e,0
573,573,0,0,1,0000e8fe,0
574,574,0,0,0,0000af9f,0
575,575,0,0,2,0000fe59,0
576,576,0,0,0,00002490,0
577,577,0,0,1,000077fe,0
578,578,0,0,0,00001710,0
579,579,0,0,0,0000e713,0
580,580,0,0,2,0000fe52,0
581,581,0,0,2,0000fe48,0
582,582,0,0,3,0000fefe,0
583,583,0,0,1,000085fe,0
584,584,0,0,0,0000c0b5,0
585,585,0,0,2,0000fe6d,0
586,586,0,0,3,0000fefe,0
587,587,0,0,2,0000fede,0
588,588,0,0,3,0000fefe,0
589,589,0,0,1,0000ddfc,0
590,590,0,0,0,0000211a,0
591,591,0,0,0,00006e5b,0
592,592,0,0,2,0000fe6c,0
593,593,0,0,1,000022fe,0
594,594,0,0,0,000094df,0
595,595,0,0,0,00001cbe,0
596,596,0,0,3,0000fefe,0
597,597,0,0,1,000029fe,0
598,598,0,0,1,0000c5fe,0
599,599,0,0,2,0000fe1a,0
600,600,0,0,3,0000fbfe,0
601,601,0,0,3,00009cfe,0
602,602,0,0,2,0000fe05,0
603,603,0,0,0,00008959,0
604,604,0,0,1,000046fe,0
605,605,0,0,1,00005dfe,0
606,606,0,0,2,0000fe80,0
607,607,0,0,1,00009bfe,0
608,608,0,0,1,000006fe,0
609,609,0,0,0,00003280,0
610,610,0,0,2,0000fe19,0
611,611,0,0,1,00009efe,0
612,612,0,0,1,000004fe,0
613,613,0,0,3,0000fefe,0
614,614,0,0,3,0000fefe,0
615,615,0,0,1,00000cfe,0
616,616,0,0,3,0000fefe,0
617,617,0,0,2,0000fe05,0
618,618,0,0,1,000094fe,0
619,619,0,0,2,0000fed7,0
620,620,0,0,3,0000fefe,0
621,621,0,0,0,00009454,0
622,622,0,0,1,00005ffe,0
623,623,0,0,0,00001eb0,0
624,624,0,0,0,0000caab,0
625,625,0,0,0,0000860b,0
626,626,0,0,2,0000fecb,0
627,627,0,0,1,0000f4fe,0
628,628,0,0,0,00007391,0
629,629,0,0,1,000006fe,0
630,630,0,0,3,0000fefe,0
631,631,0,0,3,0000fefe,0
632,632,0,0,2,0000fef6,0
633,633,0,0,3,0000fefe,0
634,634,0,0,3,0000fefe,0
635,635,0,0,0,000072fc,0
636,636,0,0,3,0000fefe,0
637,637,0,0,0,00008658,0
638,638,0,0,0,0000f4e1,0
639,639,0,0,0,0000e9ec,0
640,640,0,0,0,0000880f,0
641,641,0,0,3,0000fefe,0
642,642,0,0,0,000035e0,0
643,643,0,0,0,0000ffeb,0
644,644,0,0,3,0000fefe,0
645,645,0,0,1,00002afe,0
646,646,0,0,3,0000fefe,0
647,647,0,0,3,0000fefc,0
648,648,0,0,0,00000caf,0
649,649,0,0,2,0000feba,0
650,650,0,0,0,00001e9f,0
651,651,0,0,0,00003e9e,0
652,652,0,0,0,00007601,0
653,653,0,0,0,00002cff,0
654,654,0,0,2,0000fe0c,0
655,655,0,0,2,0000fe80,0
656,656,0,0,2,0000fe62,0
657,657,0,0,2,0000fe25,0
658,658,0,0,0,00004654,0
659,659,0,0,0,0000de1e,0
660,660,0,0,1,0000c8fe,0
661,661,0,0,3,0000febc,0
662,662,0,0,1,00005dfe,0
663,663,0,0,3,0000fefe,0
664,664,0,0,1,00008bfe,0
665,665,0,0,2,0000fe92,0
666,666,0,0,1,0000a1fe,0
667,667,0,0,0,000098eb,0
668,668,0,0,1,000096fe,0
669,669,0,0,2,0000fef3,0
670,670,0,0,1,0000dcfe,0
671,671,0,0,1,0000e0fe,0
672,672,0,0,0,00004605,0
673,673,0,0,2,0000fe86,0
674,674,0,0,3,00009c3c,0
675,675,0,0,1,000062fe,0
676,676,0,0,1,00003afe,0
677,677,0,0,2,0000fe40,0
678,678,0,0,3,0000fefe,0
679,679,0,0,1,000082fe,0
680,680,0,0,2,0000fec7,0
681,681,0,0,1,0000dafe,0
682,682,0,0,2,0000fe30,0
683,683,0,0,1,00008afe,0
684,684,0,0,3,0000fefe,0
685,685,0,0,3,0000fefe,0
686,686,0,0,3,0000fefe,0
687,687,0,0,0,00009356,0
688,688,0,0,2,0000fea0,0
689,689,0,0,0,00000f95,0
690,690,0,0,3,0000fe5c,0
691,691,0,0,0,000050c4,0
692,692,0,0,0,000021a1,0
693,693,0,0,2,0000fed8,0
694,694,0,0,2,0000fe1e,0
695,695,0,0,2,0000fe44,0
696,696,0,0,3,0000fefe,0
697,697,0,0,0,0000bbb4,0
698,698,0,0,1,0000933c,0
699,699,0,0,1,00002ffe,0
700,700,0,0,1,00009cfe,0
701,701,0,0,2,0000fe75,0
702,702,0,0,3,0000fefe,0
703,703,0,0,0,00004203,0
704,704,0,0,2,0000fe9b,0
705,705,0,0,0,0000ba7f,0
706,706,0,0,0,0000c095,0
707,707,0,0,0,00003e0e,0
708,708,0,0,1,000015fe,0
709,709,0,0,3,0000fefd,0
710,710,0,0,0,00001624,0
711,711,0,0,2,0000fcc3,0
712,712,0,0,0,00005d37,0
713,713,0,0,2,0000fe42,0
714,714,0,0,3,0000fefe,0
715,715,0,0,2,0000fe52,0
716,716,0,0,2,0000fe0c,0
717,717,0,0,0,0000d06d,0
718,718,0,0,3,0000fefe,0
719,719,0,0,3,0000fefe,0
720,720,0,0,2,0000fe18,0
721,721,0,0,2,0000dc14,0
722,722,0,0,3,0000fefe,0
723,723,0,0,1,000002fe,0
724,724,0,0,1,0000a4fe,0
725,725,0,0,3,0000fefe,0
726,726,0,0,2,0000fed3,0
727,727,0,0,0,0000d7d4,0
728,728,0,0,3,0000fefe,0
729,729,0,0,2,0000fe55,0
730,730,0,0,2,0000fe6d,0
731,731,0,0,3,0000fefe,0
732,732,0,0,3,0000fefe,0
733,733,0,0,2,0000fe16,0
734,734,0,0,2,0000fef6,0
735,735,0,0,1,00003bfe,0
736,736,0,0,1,00000ffe,0
737,737,0,0,2,0000fe78,0
738,738,0,0,3,0000fefe,0
739,739,0,0,3,0000fefe,0
740,740,0,0,1,000084fe,0
741,741,0,0,0,00004f28,0
742,742,0,0,0,00002219,0
743,743,0,0,3,0000fefe,0
744,744,0,0,2,0000fe38,0
745,745,0,0,0,0000c1af,0
746,746,0,0,1,000098fe,0
747,747,0,0,3,0000fbfe,0
748,748,0,0,1,000015fe,0
749,749,0,0,1,0000c8fe,0
750,750,0,0,1,000036fe,0
751,751,0,0,0,0000f681,0
752,752,0,0,2,0000fe30,0
753,753,0,0,3,0000fefe,0
754,754,0,0,1,000030fe,0
755,755,0,0,2,0000fe9e,0
756,756,0,0,3,0000fefe,0
757,757,0,0,2,0000fec2,0
758,758,0,0,1,00009bfe,0
759,759,0,0,2,0000fe84,0
760,760,0,0,3,0000fefe,0
761,761,0,0,2,0000fe89,0
762,762,0,0,0,000095b3,0
763,763,0,0,3,0000fefe,0
764,764,0,0,3,0000fefe,0
765,765,0,0,1,000068fe,0
766,766,0,0,1,00005ffe,0
767,767,0,0,1,00001ffe,0
768,768,0,0,2,0000fedb,0
769,769,0,0,1,0000b8fe,0
770,770,0,0,2,0000fe7f,0
